Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Забара,Арсен,Дмитрович,Чоловіча,18-02-1959,Літературознавець,село П'ятихатки,"парк Миколи Огренича, буд. 3, Березань, 78072",080 194-93-83,drobiazkoalla@example.net
Вдовенко,Роман,Володимирович,Чоловіча,03-09-1959,М'ясник,місто Амвросіївка,"узвіз Будівельний, буд. 4, Тлумач, 74688",494-18-91,masaula@example.com
Бебешко,Любов,Степанівна,Жіноча,15-11-1964,Ді-джей,село Долинська,"провулок Аптекарський, буд. 153, Павлоград, 19981",407-44-28,kvakarchuk@example.net
Данильчук,Арсен,Андрійович,Чоловіча,06-03-1990,Кінолог,місто Долинська,"проспект Олександрійський, буд. 492, Сімферополь, 61533",+380 55 347-39-96,zynovii31@example.net
Зінченко,Веніямин,Костянтинович,Чоловіча,21-07-1961,Маркетолог,хутір Вознесенівка,"шосе Мельницька, буд. 8 кв. 817, Липовець, 03908",+380 91 424-58-05,marusiababenko@example.com
Венгринович,Віталій,Сергійович,Чоловіча,05-01-1963,Краєзнавець,хутір Генічеськ,"набережна Сирітський 2-й, буд. 06 кв. 7, Зіньків, 50816",+380 55 211 21 94,oleksaadamenko@example.org
Сіробаба,Венедикт,Валентинович,Чоловіча,09-04-1981,Пілот,село Остер,"сквер Санаторний, буд. 545, Баранівка, 99334",+380 (11) 882-23-31,hzatovkaniuk@example.com
Даниленко,Богдан,Георгійович,Чоловіча,19-04-1996,Мистецтвознавець,село Апостолове,"проспект Артилерійська, буд. 4 кв. 712, Прилуки, 57302",+380 52 185-00-26,zabilaolena@example.net
Дуплій,Демʼян,Станіславович,Чоловіча,08-06-1982,Скульптор,хутір Скалат,"шосе Бузковий 2-й, буд. 78, Олександрівськ, 68394",638 32 63,lytvynenkoiustyna@example.org
Ємець,Прохір,Єгорович,Чоловіча,10-12-2007,Дизайнер,хутір Тернівка,"парк Героїв Небесної Сотні, буд. 3, Берислав, 33023",+380 40 254-34-99,jdutka@example.org
Ткаченко,Софія,Петрівна,Жіноча,26-03-1976,Маркетолог,хутір Татарбунари,"сквер Венгера, буд. 8, Остер, 20772",098 677 36 21,kamilla96@example.org
Дахно,Леонтій,Михайлович,Чоловіча,24-06-1956,Біолог,хутір Ізяслав,"площа Віри Холодної, буд. 7 кв. 4, Костянтинівка, 11360",080 911-18-39,riabetssemen@example.com
Рева,Костянтин,Степанович,Чоловіча,22-10-1939,Музикант,селище Галич,"вулиця Рельєфна, буд. 665 кв. 809, Глиняни, 28334",006 468 09 03,bohuslaviemets@example.com
Архимович,Сніжана,Михайлівна,Жіноча,13-11-1971,Кіноактор,село Копичинці,"площа Хаджибейська дорога, буд. 8, Ладижин, 90735",+380 97 062-23-14,karasanton@example.org
Рудько,Петро,Степанович,Чоловіча,10-02-1953,Фрілансер,село Бурштин,"шосе Наявний 3-й, буд. 30 кв. 13, Шаргород, 42034",+380 53 420 02 14,danylchukmykhailo@example.net
Демʼянюк,Роксолана,Віталіївна,Жіноча,14-10-1973,Фотограф,місто Зборів,"парк Лінія 51-ша, буд. 12, Генічеськ, 12652",013 276 28 70,mhaidamaka@example.org
Даньків,Одарка,Рустамівна,Жіноча,09-02-1979,Медик,село Біляївка,"узвіз Восьмого Березня Лінія 1-ша, буд. 27, Корюківка, 09679",058 003-59-84,opanasenkoliliia@example.net
Бакуменко,Руслан,Геннадійович,Чоловіча,18-07-1984,Футболіст,хутір Стебник,"узвіз Біржова, буд. 803, Борзна, 98846",+380 11 791-18-92,zasiadkoliubov@example.net
Єрошенко,Симон,Іванович,Чоловіча,02-12-1990,Композитор,хутір Підгородне,"вулиця Рожева, буд. 91 кв. 21, Рава-Руська, 70149",+380 (93) 920-22-87,oleh22@example.net
Хоменко,Аарон,Богданович,Чоловіча,24-06-1956,Випробувач,село Жовква,"парк Восьмого березня 4-й, буд. 22 кв. 82, Щолкіне, 79541",+380 23 320 91 64,kvashchenko@example.com
Гаврилець,Адам,Арсенович,Чоловіча,11-02-1993,Різноробочий,місто Ходорів,"вулиця Мерло, буд. 916 кв. 99, Гайворон, 53461",+380 77 670-36-99,bezborodkodmytro@example.net
Стельмах,Алевтин,Михайлович,Чоловіча,17-09-1966,Швачка,місто Конотоп,"проспект Спортивний, буд. 430 кв. 670, Калуш, 31632",+380 61 590-78-75,aleksiuklevko@example.org
Єресько,Климент,Іванович,Чоловіча,12-04-1995,Археолог,село Рожище,"вулиця Квіткова, буд. 445, Херсон, 73744",+380 03 613-60-91,dholoborodko@example.net
Медведенко,Яків,Петрович,Чоловіча,22-09-1993,Науковець,місто Тульчин,"вулиця Небесної Сотні, буд. 310 кв. 530, Лебедин, 95863",+380 (65) 912-95-02,ihor88@example.com
Дутка,Леонтій,Леонідович,Чоловіча,04-09-1978,Художник,хутір Люботин,"проспект Монастирський, буд. 34 кв. 89, Верхньодніпровськ, 50925",658-32-22,tymofii32@example.org
Олійник,Людмила,Захарівна,Жіноча,17-01-1976,Мінералог,хутір Дружківка,"площа Південна, буд. 69, Гірське, 08101",+380 76 570 25 11,mykolaistelmakh@example.org
Луценко,Оксенія,Петрівна,Жіноча,18-04-1997,Няня,село Жданівка,"площа Сергія Ейзенштейна, буд. 305, Сокиряни, 87193",+380 57 820 56 81,hunkobohuslav@example.org
Мазур,Яків,Геннадійович,Чоловіча,20-12-1976,Фотограф,місто Приморськ,"узвіз Виноградний тупик, буд. 0, Коростень, 27865",992 34 17,iukhym15@example.net
Габелко,Ірина,Олексіївна,Жіноча,25-08-1958,Стоматолог,село Світловодськ,"набережна Ризька, буд. 71, Хорол, 99817",698-91-74,azhazhaedyta@example.net
Ванченко,Соломон,Костянтинович,Чоловіча,20-05-1940,Євнух,місто Шепетівка,"парк Лесі Українки, буд. 795, Красноперекопськ, 84919",+380 15 266-18-14,oberemkoiaroslav@example.com
Венгринович,Віра,Петрівна,Жіноча,15-11-1988,Головний меркшейдер,місто Бахмач,"площа Отрада, буд. 9, Шаргород, 90883",+380 (55) 969-49-95,kyrylovertyporokh@example.org
Мазепа,Марта,Матвіївна,Жіноча,19-06-1939,Швачка,селище Золочів,"проспект Теофіла Фраєрмана, буд. 3, Кремінна, 82955",085 834 43 70,adamalyk@example.org
Верменич,Ольга,Станіславівна,Жіноча,12-11-1994,Соціолог,місто Миколаївка,"площа Астрономічний, буд. 0, Вараш, 62611",+380 18 530 79 53,baranykostap@example.com
Артюх,Марина,Костянтинівна,Жіноча,20-09-1941,Ветеринар,селище Самбір,"вулиця Незамаївська, буд. 7, Надвірна, 45422",+380 (85) 363-77-89,kkabaliuk@example.com
Лагода,Лілія,Євгенівна,Жіноча,27-02-1963,М'ясник,хутір Кам'янець-Подільський,"провулок Надіїі, буд. 731, Рені, 75314",076 325 03 48,iarynadrozd@example.net
Щербак,Орися,Антонівна,Жіноча,08-06-1944,Гірник,місто Решетилівка,"парк Уральська, буд. 8, Красноперекопськ, 38657",+380 (22) 406-45-30,varvara17@example.net
Ванченко,Лесь,Захарович,Чоловіча,04-11-1956,Агроном,місто Красногорівка,"набережна Восьмого березня 8-й, буд. 6 кв. 31, Верхньодніпровськ, 54230",009 299 22 05,avhustynilchenko@example.com
Валенко,Азар,Антонович,Чоловіча,14-11-1989,Музикант,хутір Білогірськ,"площа Дмитра Годзенка, буд. 5 кв. 311, Білицьке, 04823",009 424-60-61,irenasyrotenko@example.org
Чекалюк,Венедикт,Владиславович,Чоловіча,11-05-1962,Краєзнавець,село Моршин,"площа 411-ї батареї, буд. 69, Красногорівка, 26708",+380 31 938-65-80,izhakevychvioletta@example.org
Захарченко,Олег,Захарович,Чоловіча,10-06-1954,Філолог,село Добропілля,"шосе Ольгіївська, буд. 02, Лутугине, 25306",713 96 46,kshutko@example.net
